EFPG_name,Metroregion_name,Purchase_grams_wtd,Date,Latitude,Longitude,Type
Alcohol,Atlanta-Sandy Springs-Roswell  GA,19360525438.0,2012-01-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,18931174115.0,2012-02-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,21790796318.0,2012-03-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,21714744523.0,2012-04-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,24639344555.0,2012-05-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,23895624733.0,2012-06-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,24980205117.0,2012-07-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,23621084179.0,2012-08-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22127451679.0,2012-09-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,21215533054.0,2012-10-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,20817847047.0,2012-11-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,24969495337.0,2012-12-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,14679565464.0,2013-01-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,13182459761.0,2013-02-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,15263260388.0,2013-03-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,15763970603.0,2013-04-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,17616841440.0,2013-05-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,17835326179.0,2013-06-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,18467149708.0,2013-07-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,17613810372.0,2013-08-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,16519742728.0,2013-09-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,16025017080.0,2013-10-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,15853910376.0,2013-11-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,15443823480.0,2013-12-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,18250977079.0,2014-01-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,17053622378.0,2014-02-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,18539335353.0,2014-03-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,19175507732.0,2014-04-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,21563799721.0,2014-05-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,21440477899.0,2014-06-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22367993380.0,2014-07-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,21994871159.0,2014-08-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,19783385968.0,2014-09-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,19647667326.0,2014-10-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,18519602356.0,2014-11-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,18294489646.0,2014-12-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22616336673.0,2015-01-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,18735462979.0,2015-02-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,21862315694.0,2015-03-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,22495630364.0,2015-04-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,26014903928.0,2015-05-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25078212139.0,2015-06-01,33.749,-84.388,Actual
Alcohol,Atlanta-Sandy Springs-Roswell  GA,25926104175.0,2015-07-01,33.749,-84.388,Actual
