EFPG_name,Metroregion_name,Season,Latitude,Longitude,Purchase_grams_wtd
Alcohol,Atlanta-Sandy Springs-Roswell  GA,Fall,33.749,-84.388,455134708863.0
Alcohol,Atlanta-Sandy Springs-Roswell  GA,Spring,33.749,-84.388,459513997598.0
Alcohol,Atlanta-Sandy Springs-Roswell  GA,Summer,33.749,-84.388,500231528419.0
Alcohol,Atlanta-Sandy Springs-Roswell  GA,Winter,33.749,-84.388,415014750766.0
Alcohol,Boston-Cambridge-Newton  MA-NH,Fall,42.3601,-71.0589,162245132201.0
Alcohol,Boston-Cambridge-Newton  MA-NH,Spring,42.3601,-71.0589,154716840474.0
Alcohol,Boston-Cambridge-Newton  MA-NH,Summer,42.3601,-71.0589,198884769252.0
Alcohol,Boston-Cambridge-Newton  MA-NH,Winter,42.3601,-71.0589,149489985542.0
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,Fall,41.8781,-87.6298,682559800554.0
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,Spring,41.8781,-87.6298,602814018453.0
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,Summer,41.8781,-87.6298,696829587634.0
Alcohol,Chicago-Naperville-Elgin  IL-IN-WI,Winter,41.8781,-87.6298,633845332003.0
Alcohol,Dallas-Fort Worth-Arlington  TX,Fall,32.7767,-96.797,796749786658.0
Alcohol,Dallas-Fort Worth-Arlington  TX,Spring,32.7767,-96.797,816777433863.0
Alcohol,Dallas-Fort Worth-Arlington  TX,Summer,32.7767,-96.797,887422149128.0
Alcohol,Dallas-Fort Worth-Arlington  TX,Winter,32.7767,-96.797,714524167618.0
Alcohol,Detroit-Warren-Dearborn  MI,Fall,42.3314,-83.0458,235668697816.0
Alcohol,Detroit-Warren-Dearborn  MI,Spring,42.3314,-83.0458,233676667744.0
Alcohol,Detroit-Warren-Dearborn  MI,Summer,42.3314,-83.0458,286421822252.0
Alcohol,Detroit-Warren-Dearborn  MI,Winter,42.3314,-83.0458,220717923267.0
Alcohol,Houston-The Woodlands-Sugar Land  TX,Fall,29.7604,-95.3698,830082617921.0
Alcohol,Houston-The Woodlands-Sugar Land  TX,Spring,29.7604,-95.3698,852760404738.0
Alcohol,Houston-The Woodlands-Sugar Land  TX,Summer,29.7604,-95.3698,912667316691.0
Alcohol,Houston-The Woodlands-Sugar Land  TX,Winter,29.7604,-95.3698,765923821213.0
Alcohol,Los Angeles-Long Beach-Anaheim  CA,Fall,34.0522,-118.2437,1049557446976.0
Alcohol,Los Angeles-Long Beach-Anaheim  CA,Spring,34.0522,-118.2437,1043219047891.0
Alcohol,Los Angeles-Long Beach-Anaheim  CA,Summer,34.0522,-118.2437,1153950186408.0
Alcohol,Los Angeles-Long Beach-Anaheim  CA,Winter,34.0522,-118.2437,1009331486312.0
Alcohol,Miami-Fort Lauderdale-West Palm Beach  FL,Fall,25.7617,-80.1918,524011390652.0
Alcohol,Miami-Fort Lauderdale-West Palm Beach  FL,Spring,25.7617,-80.1918,550067655537.0
Alcohol,Miami-Fort Lauderdale-West Palm Beach  FL,Summer,25.7617,-80.1918,521031560654.0
Alcohol,Miami-Fort Lauderdale-West Palm Beach  FL,Winter,25.7617,-80.1918,547460764479.0
Alcohol,New York-Newark-Jersey City  NY-NJ-PA,Fall,40.7128,-74.006,485094149895.0
Alcohol,New York-Newark-Jersey City  NY-NJ-PA,Spring,40.7128,-74.006,471534730919.0
Alcohol,New York-Newark-Jersey City  NY-NJ-PA,Summer,40.7128,-74.006,619213768605.0
