Year,labor force,employment,unemployment,unemployment rate,Metroregion_name,Month,EFPG_name,EFPG_code,Metroregion_code,Purchase_dollars_wtd,Purchase_grams_wtd,Purchase_dollars_unwtd,Purchase_grams_unwtd,Number_stores,Unit_value_mean_wtd,Unit_value_se_wtd,Unit_value_mean_unwtd,Price_index_GEKS,Date,Latitude,Longitude
2012,2767544,2511096,256448,9.3,Atlanta-Sandy Springs-Roswell  GA,1,Whole milk,40000,12060,7027120,6013023582,4579879,3961444909,1042,0.117,0.0008,0.116,0.995952622,2012-01-01,33.749,-84.388
2012,2772632,2518303,254329,9.2,Atlanta-Sandy Springs-Roswell  GA,2,Whole milk,40000,12060,6434516,5555734280,4227666,3683256045,1041,0.116,0.0007,0.115,1.014298212,2012-02-01,33.749,-84.388
2012,2776283,2529919,246364,8.9,Atlanta-Sandy Springs-Roswell  GA,3,Whole milk,40000,12060,6646632,5796781217,4348767,3832373506,1031,0.115,0.0007,0.113,1.008491142,2012-03-01,33.749,-84.388
2012,2756567,2524146,232421,8.4,Atlanta-Sandy Springs-Roswell  GA,4,Whole milk,40000,12060,6386015,5475616348,4174820,3636692478,1033,0.117,0.0008,0.115,1.005787157,2012-04-01,33.749,-84.388
2012,2774773,2534974,239799,8.6,Atlanta-Sandy Springs-Roswell  GA,5,Whole milk,40000,12060,6696777,5724799482,4364668,3778652249,1034,0.117,0.0008,0.116,1.020986684,2012-05-01,33.749,-84.388
2012,2787158,2532038,255120,9.2,Atlanta-Sandy Springs-Roswell  GA,6,Whole milk,40000,12060,6547934,5601871538,4258227,3699108957,1035,0.117,0.0009,0.115,1.022780718,2012-06-01,33.749,-84.388
2012,2801695,2545521,256174,9.1,Atlanta-Sandy Springs-Roswell  GA,7,Whole milk,40000,12060,6799998,5830814261,4432427,3859676550,1033,0.117,0.0009,0.115,1.018136685,2012-07-01,33.749,-84.388
2012,2772152,2527364,244788,8.8,Atlanta-Sandy Springs-Roswell  GA,8,Whole milk,40000,12060,6540213,5739341345,4257534,3847047735,1035,0.114,0.0008,0.111,1.004996877,2012-08-01,33.749,-84.388
2012,2786893,2558203,228690,8.2,Atlanta-Sandy Springs-Roswell  GA,9,Whole milk,40000,12060,5865703,4941307996,3778588,3220542343,1034,0.119,0.001,0.117,1.008962391,2012-09-01,33.749,-84.388
2012,2794647,2563972,230675,8.3,Atlanta-Sandy Springs-Roswell  GA,10,Whole milk,40000,12060,6552700,5425117924,4323348,3631599723,1032,0.121,0.0007,0.119,1.002508002,2012-10-01,33.749,-84.388
